Wirkungsanalyse,D Bestand,D Außenwandsanierung,D Dachsanierung,D Fenstersanierung,D Komplettsanierung
GWP pro Gebäude,"17,17268201","17,95480100","16,68774020","16,74824348","16,95377894"
Modul B6,"11,17751235","10,67209440","10,90536423","10,37217606","9,50296827"
Konstruktion (KGR 300),"5,99516966","7,28270660","5,78237597","6,37606742","7,45081067"
Ersparnis Bestand vs. Neubau,"2,9321094683","2,7686591931","2,8823054345","2,4728279417","2,2595736327"
AW Mauerwerk KfW 55,"2,3875106384","3,6750475749","2,3875106384","2,3875106384","3,6750475749"
AW Mauerwerk KfW 55: Baustoff  Innenfarbe Dispersionsfarbe scheuerfest [Altsubstanz],"0,1546434654","0,1546434654","0,1546434654","0,1546434654","0,1546434654"
AW Mauerwerk KfW 55: Baustoff  Gipsputz (Gips) [Altsubstanz],"8,4310717463E-3","8,4310717463E-3","8,4310717463E-3","8,4310717463E-3","8,4310717463E-3"
AW Mauerwerk KfW 55: Baustoff  Kalksandstein Mix [Altsubstanz],"0,0380242793","0,0380242793","0,0380242793","0,0380242793","0,0380242793"
AW Mauerwerk KfW 55: Baustoff  Armierung (Kunstharzspachtel) [Altsubstanz],"0,1913002000","0,0956501000","0,1913002000","0,1913002000","0,0956501000"
AW Mauerwerk KfW 55: Baustoff  EPS-Hartschaum (Styropor ®) für Decken/Böden und als Perimeterdämmung B/P-035 [Altsubstanz],"1,8978689861","1,8978689861","1,8978689861","1,8978689861","1,8978689861"
AW Mauerwerk KfW 55: Baustoff  Armierung (Kunstharzspachtel),-,"0,1883961642",-,-,"0,1883961642"
AW Mauerwerk KfW 55: Baustoff  EPS-Hartschaum (Styropor ®) für Decken/Böden und als Perimeterdämmung B/P-035,-,"1,1240866614",-,-,"1,1240866614"
AW Mauerwerk KfW 55: Baustoff  Kunstharzputz,-,"0,0737487647",-,-,"0,0737487647"
"1,88 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard","0,6829021135","0,6829021135","0,6829021135","1,0637998745","1,0637998745"
"1,88 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard: Baustoff  Fugendichtungsbänder PE/PP-Folie [Altsubstanz]","0,2074495901","0,2074495901","0,2074495901",-,-
"1,88 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard: Baustoff Dreifachverglasung [Altsubstanz]","0,4754410308","0,4754410308","0,4754410308",-,-
