Projektname,A1-A3: Herstellung,B4: Ersatz,B6: Betrieblicher Energieeinsatz,C3: Abfallbehandlung,C4: Deponierung,Gesamt,D: Recyclingpotenzial
A Außenwandsanierung,"-1,6562288428","3,0524421769","10,6720944049","4,1098189084","0,3232098412","16,50133649","-1,9448850370"
A Bestand,"0,0000000000","2,9299649957","11,1775123548","2,6093848503","0,3214735154","17,03833572","-1,2687635170"
A Dachsanierung,"0,4212523619","2,5716884598","10,9053642279","2,6093848503","0,4263945207","16,93408442","-1,3239722415"
A Fenstersanierung,"0,2771658885","2,8527365625","10,3721760609","2,6093848503","0,3914761476","16,50293951","-1,3128630033"
A Komplettsanierung,"-0,9578105923","2,6169372078","9,5029682679","4,1098189084","0,4981334785","15,77004727","-2,0441932478"
B Außenwandsanierung,"-1,7093433646","3,1122869905","10,6720944049","5,1980154398","0,3530851525","17,62613862","-2,3317943727"
B Bestand,"0,0000000000","2,9858820206","11,1775123548","3,6494631292","0,3512931436","18,16415065","-1,6339899365"
B Dachsanierung,"0,1123895876","2,3312720385","10,9053642279","3,9014444971","0,3542036429","17,60467399","-1,7475370960"
B Fenstersanierung,"0,2125931460","2,9300099605","10,3721760609","3,6494631292","0,4061158719","17,57035817","-1,6685265543"
B Komplettsanierung,"-1,3843606310","2,4018049483","9,5029682679","5,4499968076","0,4108183801","16,38122777","-2,4798781501"
C Außenwandsanierung,"0,4601534759","5,0336172050","10,6720944049","0,5539940439","0,9918937668","17,71175290","-0,6812348638"
C Bestand,"0,0000000000","4,5314116666","11,1775123548","0,5539940439","0,6985670819","16,96148515","-0,5276334838"
C Dachsanierung,"0,4385601993","4,1584147574","10,9053642279","0,5539940439","0,8077989370","16,86413217","-0,5851105484"
C Fenstersanierung,"0,3156329570","4,4484594931","10,3721760609","0,5539940439","0,7799613327","16,47022389","-0,5789093364"
C Komplettsanierung,"1,2143466322","4,5776681224","9,5029682679","0,5539940439","1,1825198728","17,03149694","-0,7899877810"
D Außenwandsanierung,"0,4718255508","4,7171842288","10,6720944049","1,1258408457","0,9678559699","17,95480100","-0,8587867017"
D Bestand,"0,0000000000","4,2022399391","11,1775123548","1,1258408457","0,6670888739","17,17268201","-0,7012891285"
D Dachsanierung,"0,0832350153","3,7174399405","10,9053642279","1,3124566476","0,6692443712","16,68774020","-0,7853814344"
D Fenstersanierung,"0,3910936954","4,0932671016","10,3721760609","1,1258408457","0,7658657769","16,74824348","-0,7635155127"
D Komplettsanierung,"0,9461542616","4,1234113927","9,5029682679","1,3124566476","1,0687883703","16,95377894","-1,0051053916"
