Prozess,Bauteil,Menge Bauteil,Kostengruppe,Masse in kg Bestand,Masse in kg Außenwandsanierung,Masse in kg Dachsanierung,Masse in kg Fenstersanierung,Masse in kg Komplettsanierung
Sand 0/2,Extensivbegrünung (Importiert),"90,16 m²",363 Dachbeläge,"12171,6","12171,6","12171,6",12171.6,"12171,6"
Lava Körnung,Extensivbegrünung (Importiert),"90,16 m²",363 Dachbeläge,"5950,56","5950,56","5950,56",5950.56,"5950,56"
Konstruktionsvollholz (Durchschnitt DE),IBO_AW_01 (Importiert),"198,90 m²",331 Tragende Außenwände,"3529,5","3529,5","3529,5",3529.5,"3529,5"
"Schnittholz Lärche (12% Feuchte/10,7% H2O)",IBO_AW_01 (Importiert),"198,90 m²","335 Außenwandbekleidungen, außen","3285,83","3285,83","3285,83",3285.83,"3285,83"
Oriented Strand Board (Durchschnitt DE),IBO_AW_01 (Importiert),"198,90 m²",331 Tragende Außenwände,"2148,12","2148,12","2148,12",2148.12,"2148,12"
Konstruktionsvollholz (Durchschnitt DE),Holzrahmen - Dämmung (Importiert),"90,16 m²",361 Dachkonstruktionen,"2133,2","2133,2","2133,2",2133.2,"2133,2"
Gipskartonplatte (Feuerschutz),IBO_AW_01 (Importiert),"198,90 m²","336 Außenwandbekleidungen, innen","1989,0","1989,0","1989,0",1989.0,"1989,0"
Konstruktionsvollholz (Durchschnitt DE),IBO_AW_01 (Importiert),"198,90 m²","336 Außenwandbekleidungen, innen","1470,63","1470,63","1470,63",1470.63,"1470,63"
Zellulosefaserplatten,Holzrahmen - Dämmung (Importiert),"90,16 m²",361 Dachkonstruktionen,"1384,86","1384,86","1384,86",1384.86,"1384,86"
Konstruktionsvollholz (Durchschnitt DE),Holzrahmen - Dämmung (Importiert),"90,16 m²",361 Dachkonstruktionen,"1066,6","1066,6","1066,6",1066.6,"1066,6"
Nadelschnittholz - getrocknet (Durchschnitt DE),Holzrahmen belüftet (Importiert),"90,16 m²",363 Dachbeläge,"1048,4","1048,4","1048,4",1048.4,"1048,4"
Mineralwolle (Fassaden-Dämmung),IBO_AW_01 (Importiert),"198,90 m²",331 Tragende Außenwände,"772,73","772,73","772,73",772.73,"772,73"
"Knauf - Gipskartonplatten GKB - Bauplatte 12,5 mm (680 kg/m³ u. 8,5 kg/m²)",Holzrahmen - Dämmung (Importiert),"90,16 m²",361 Dachkonstruktionen,"766,36","766,36","766,36",766.36,"766,36"
Nadelschnittholz - getrocknet (Durchschnitt DE),Holzrahmen belüftet (Importiert),"90,16 m²",363 Dachbeläge,"698,93","698,93","698,93",698.93,"698,93"
Folie für Gründach,Extensivbegrünung (Importiert),"90,16 m²",363 Dachbeläge,"694,23","694,23","694,23",694.23,"694,23"
Zellulosefaserplatten,Holzrahmen - Dämmung (Importiert),"90,16 m²",361 Dachkonstruktionen,"692,43","692,43","692,43",692.43,"692,43"
Mineralwolle (Innenausbau-Dämmung),IBO_AW_01 (Importiert),"198,90 m²","336 Außenwandbekleidungen, innen","443,8","443,8","443,8",443.8,"443,8"
Dachbahnen EPDM,Holzrahmen belüftet (Importiert),"90,16 m²",363 Dachbeläge,"172,21","172,21","172,21",172.21,"172,21"
Dreifachverglasung,2 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard,"11,00 Stück",334 Außentüren und -fenster,"171,03","171,03","171,03",-,-
PE-HD mit PP-Vlies zur Abdichtung,IBO_AW_01 (Importiert),"198,90 m²","335 Außenwandbekleidungen, außen","78,76","78,76","78,76",78.76,"78,76"
Fugendichtungsbänder PE/PP-Folie,2 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard,"11,00 Stück",334 Außentüren und -fenster,"73,57","73,57","73,57",-,-
"Aluminium-Rahmenprofil, pulverbeschichtet",2 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard,"11,00 Stück",334 Außentüren und -fenster,"64,18","64,18","64,18",-,-
Dampfbremse PE,IBO_AW_01 (Importiert),"198,90 m²","336 Außenwandbekleidungen, innen","37,0","37,0","37,0",37.0,"37,0"
PE/PP Vlies,Extensivbegrünung (Importiert),"90,16 m²",363 Dachbeläge,"17,85","17,85","17,85",17.85,"17,85"
Unterspannbahn PP,Holzrahmen belüftet (Importiert),"90,16 m²",363 Dachbeläge,"13,2","13,2","13,2",13.2,"13,2"
eLCA Luftschicht,Holzrahmen belüftet (Importiert),"90,16 m²",363 Dachbeläge,"0,0","0,0","0,0",0.0,"0,0"
Konstruktionsvollholz (Durchschnitt DE),IBO_AW_01 (Importiert),"198,90 m²","335 Außenwandbekleidungen, außen",-,"4117,76",-,-,"4117,76"
Konstruktionsvollholz (Durchschnitt DE),IBO_AW_01 (Importiert),"198,90 m²","335 Außenwandbekleidungen, außen",-,"2941,25",-,-,"2941,25"
Mineralwolle (Fassaden-Dämmung),IBO_AW_01 (Importiert),"198,90 m²","335 Außenwandbekleidungen, außen",-,"901,51",-,-,"901,51"
Konstruktionsvollholz (Durchschnitt DE),IBO_AW_01 (Importiert),"198,90 m²","335 Außenwandbekleidungen, außen",-,"588,25",-,-,"588,25"
eLCA Luftschicht,IBO_AW_01 (Importiert),"198,90 m²","335 Außenwandbekleidungen, außen",-,"0,0",-,-,"0,0"
Mineralwolle (Flachdach-Dämmung),Holzrahmen belüftet (Importiert),"90,16 m²",363 Dachbeläge,-,-,"1464,2",-,"1464,2"
Konstruktionsvollholz (Durchschnitt DE),Holzrahmen belüftet (Importiert),"90,16 m²",363 Dachbeläge,-,-,"1244,37",-,"1244,37"
Blendrahmen PVC-U,2 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard,"11,00 Stück",334 Außentüren und -fenster,-,-,-,176.18,"176,18"
Dreifachverglasung,2 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard,"11,00 Stück",334 Außentüren und -fenster,-,-,-,171.03,"171,03"
Fugendichtungsbänder PE/PP-Folie,2 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard,"11,00 Stück",334 Außentüren und -fenster,-,-,-,73.57,"73,57"
