Prozess,Bauteil,Menge Bauteil,Kostengruppe,Masse in kg Bestand,Masse in kg Außenwandsanierung,Masse in kg Dachsanierung,Masse in kg Fenstersanierung,Masse in kg Komplettsanierung
Kalksandstein Mix,Kalksandstein 24cm (Importiert),"197,00 m²",331 Tragende Außenwände,"94560,0","94560,0","94560,0",94560.0,"94560,0"
Transportbeton C20/25,Stahlbeton (Importiert),"88,46 m²",361 Dachkonstruktionen,"40083,0","40083,0","40083,0",40083.0,"40083,0"
Sand 0/2,Extensivbegrünung (Importiert),"88,46 m²",363 Dachbeläge,"11942,1","11942,1","11942,1",11942.1,"11942,1"
Lava Körnung,Extensivbegrünung (Importiert),"88,46 m²",363 Dachbeläge,"5838,36","5838,36","5838,36",5838.36,"5838,36"
Bewehrungsstahl,Stahlbeton (Importiert),"88,46 m²",361 Dachkonstruktionen,"5572,27","5572,27","5572,27",5572.27,"5572,27"
Gipsputz (Gips),Gips-Putz/Anstrich (Importiert),"197,00 m²","336 Außenwandbekleidungen, innen","3546,0","3546,0","3546,0",3546.0,"3546,0"
Zellulosefaserplatten,Extensivbegrünung (Importiert),"88,46 m²",363 Dachbeläge,"1910,74","1910,74","1910,74",1910.74,"1910,74"
Armierung (Kunstharzspachtel),WDVS (Roe) (Importiert),"197,00 m²","335 Außenwandbekleidungen, außen","1221,4","1221,4","1221,4",1221.4,"1221,4"
Gipskartonplatte (Feuerschutz),Gipskarton abgehangen (Importiert),"88,46 m²",364 Dachbekleidungen,"884,6","884,6","884,6",884.6,"884,6"
Gipskartonplatte (Feuerschutz),Gipskarton abgehangen (Importiert),"88,46 m²",364 Dachbekleidungen,"884,6","884,6","884,6",884.6,"884,6"
EPS-Hartschaum (Styropor ®) für Decken/Böden und als Perimeterdämmung B/P-035,WDVS (Roe) (Importiert),"197,00 m²","335 Außenwandbekleidungen, außen","816,37","816,37","816,37",816.37,"816,37"
"Stahl Feinblech (0,3-3,0mm)",Gipskarton abgehangen (Importiert),"88,46 m²",364 Dachbekleidungen,"696,53","696,53","696,53",696.53,"696,53"
Folie für Gründach,Extensivbegrünung (Importiert),"88,46 m²",363 Dachbeläge,"681,14","681,14","681,14",681.14,"681,14"
Kunstharzputz,WDVS (Roe) (Importiert),"197,00 m²","335 Außenwandbekleidungen, außen","669,8","669,8","669,8",669.8,"669,8"
Armierung (Kunstharzspachtel),WDVS (Roe) (Importiert),"197,00 m²","335 Außenwandbekleidungen, außen","610,7","610,7","610,7",610.7,"610,7"
Dreifachverglasung,2 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard,"14,00 Stück",334 Außentüren und -fenster,"217,67","217,67","217,67",-,-
Fugendichtungsbänder PE/PP-Folie,2 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard,"14,00 Stück",334 Außentüren und -fenster,"93,63","93,63","93,63",-,-
Innenfarbe Dispersionsfarbe scheuerfest,Gips-Putz/Anstrich (Importiert),"197,00 m²","336 Außenwandbekleidungen, innen","92,2","92,2","92,2",92.2,"92,2"
"Aluminium-Rahmenprofil, pulverbeschichtet",2 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard,"14,00 Stück",334 Außentüren und -fenster,"81,68","81,68","81,68",-,-
PE/PP Vlies,Extensivbegrünung (Importiert),"88,46 m²",363 Dachbeläge,"17,52","17,52","17,52",17.52,"17,52"
Innenfarbe Dispersionsfarbe scheuerfest,Gipskarton abgehangen (Importiert),"88,46 m²",364 Dachbekleidungen,"13,8","13,8","13,8",13.8,"13,8"
Dachbahnen EPDM,Extensivbegrünung (Importiert),"88,46 m²",363 Dachbeläge,"8,45","8,45","8,45",8.45,"8,45"
eLCA Luftschicht,Gipskarton abgehangen (Importiert),"88,46 m²",364 Dachbekleidungen,"0,0","0,0","0,0",0.0,"0,0"
EPS-Hartschaum (Styropor ®) für Decken/Böden und als Perimeterdämmung B/P-035,WDVS (Roe) (Importiert),"197,00 m²","335 Außenwandbekleidungen, außen",-,"612,28",-,-,"612,28"
Armierung (Kunstharzspachtel),WDVS (Roe) (Importiert),"197,00 m²","335 Außenwandbekleidungen, außen",-,"610,7",-,-,"610,7"
EPS-Hartschaum (Styropor ®) für Decken/Böden und als Perimeterdämmung B/P-035,Extensivbegrünung (Importiert),"88,46 m²",363 Dachbeläge,-,-,"229,11",-,"229,11"
Blendrahmen PVC-U,2 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard,"14,00 Stück",334 Außentüren und -fenster,-,-,-,224.22,"224,22"
Dreifachverglasung,2 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard,"14,00 Stück",334 Außentüren und -fenster,-,-,-,217.67,"217,67"
Fugendichtungsbänder PE/PP-Folie,2 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard,"14,00 Stück",334 Außentüren und -fenster,-,-,-,93.63,"93,63"
