Prozess,Bauteil,Menge Bauteil,Kostengruppe,Masse in kg Bestand,Masse in kg Außenwandsanierung,Masse in kg Dachsanierung,Masse in kg Fenstersanierung,Masse in kg Komplettsanierung
Kalksandstein Mix,Kalksandstein 24cm (Importiert),"238,70 m²",331 Tragende Außenwände,"114576,0","114576,0","114576,0",114576.0,"114576,0"
Sand 0/2,Extensivbegrünung (Importiert),"67,64 m²",363 Dachbeläge,"9131,4","9131,4","9131,4",9131.4,"9131,4"
Lava Körnung,Extensivbegrünung (Importiert),"67,64 m²",363 Dachbeläge,"4464,24","4464,24","4464,24",4464.24,"4464,24"
Gipsputz (Gips),Gips-Putz/Anstrich (Importiert),"238,70 m²","336 Außenwandbekleidungen, innen","4296,6","4296,6","4296,6",4296.6,"4296,6"
Konstruktionsvollholz (Durchschnitt DE),Holzrahmen - Dämmung (Importiert),"67,64 m²",361 Dachkonstruktionen,"1600,37","1600,37","1600,37",1600.37,"1600,37"
Armierung (Kunstharzspachtel),WDVS (Roe) (Importiert),"238,70 m²","335 Außenwandbekleidungen, außen","1479,94","1479,94","1479,94",1479.94,"1479,94"
Zellulosefaserplatten,Holzrahmen - Dämmung (Importiert),"67,64 m²",361 Dachkonstruktionen,"1038,95","1038,95","1038,95",1038.95,"1038,95"
EPS-Hartschaum (Styropor ®) für Decken/Böden und als Perimeterdämmung B/P-035,WDVS (Roe) (Importiert),"238,70 m²","335 Außenwandbekleidungen, außen","989,17","989,17","989,17",989.17,"989,17"
Kunstharzputz,WDVS (Roe) (Importiert),"238,70 m²","335 Außenwandbekleidungen, außen","811,58","811,58","811,58",811.58,"811,58"
Konstruktionsvollholz (Durchschnitt DE),Holzrahmen - Dämmung (Importiert),"67,64 m²",361 Dachkonstruktionen,"800,19","800,19","800,19",800.19,"800,19"
Nadelschnittholz - getrocknet (Durchschnitt DE),Holzrahmen belüftet (Importiert),"67,64 m²",363 Dachbeläge,"786,53","786,53","786,53",786.53,"786,53"
Armierung (Kunstharzspachtel),WDVS (Roe) (Importiert),"238,70 m²","335 Außenwandbekleidungen, außen","739,97","739,97","739,97",739.97,"739,97"
"Knauf - Gipskartonplatten GKB - Bauplatte 12,5 mm (680 kg/m³ u. 8,5 kg/m²)",Holzrahmen - Dämmung (Importiert),"67,64 m²",361 Dachkonstruktionen,"574,94","574,94","574,94",574.94,"574,94"
Nadelschnittholz - getrocknet (Durchschnitt DE),Holzrahmen belüftet (Importiert),"67,64 m²",363 Dachbeläge,"524,36","524,36","524,36",524.36,"524,36"
Folie für Gründach,Extensivbegrünung (Importiert),"67,64 m²",363 Dachbeläge,"520,83","520,83","520,83",520.83,"520,83"
Zellulosefaserplatten,Holzrahmen - Dämmung (Importiert),"67,64 m²",361 Dachkonstruktionen,"519,48","519,48","519,48",519.48,"519,48"
Dreifachverglasung,"1,88 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard","22,00 Stück",334 Außentüren und -fenster,"322,81","322,81","322,81",-,-
Fugendichtungsbänder PE/PP-Folie,"1,88 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard","22,00 Stück",334 Außentüren und -fenster,"135,04","135,04","135,04",-,-
Dachbahnen EPDM,Holzrahmen belüftet (Importiert),"67,64 m²",363 Dachbeläge,"129,19","129,19","129,19",129.19,"129,19"
"Aluminium-Rahmenprofil, pulverbeschichtet","1,88 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard","22,00 Stück",334 Außentüren und -fenster,"117,14","117,14","117,14",-,-
Innenfarbe Dispersionsfarbe scheuerfest,Gips-Putz/Anstrich (Importiert),"238,70 m²","336 Außenwandbekleidungen, innen","111,71","111,71","111,71",111.71,"111,71"
PE/PP Vlies,Extensivbegrünung (Importiert),"67,64 m²",363 Dachbeläge,"13,39","13,39","13,39",13.39,"13,39"
Unterspannbahn PP,Holzrahmen belüftet (Importiert),"67,64 m²",363 Dachbeläge,"9,9","9,9","9,9",9.9,"9,9"
eLCA Luftschicht,Holzrahmen belüftet (Importiert),"67,64 m²",363 Dachbeläge,"0,0","0,0","0,0",0.0,"0,0"
EPS-Hartschaum (Styropor ®) für Decken/Böden und als Perimeterdämmung B/P-035,WDVS (Roe) (Importiert),"238,70 m²","335 Außenwandbekleidungen, außen",-,"741,88",-,-,"741,88"
Armierung (Kunstharzspachtel),WDVS (Roe) (Importiert),"238,70 m²","335 Außenwandbekleidungen, außen",-,"739,97",-,-,"739,97"
Mineralwolle (Flachdach-Dämmung),Holzrahmen belüftet (Importiert),"67,64 m²",363 Dachbeläge,-,-,"1098,47",-,"1098,47"
Konstruktionsvollholz (Durchschnitt DE),Holzrahmen belüftet (Importiert),"67,64 m²",363 Dachbeläge,-,-,"933,55",-,"933,55"
Dreifachverglasung,"1,88 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard","22,00 Stück",334 Außentüren und -fenster,-,-,-,322.81,"322,81"
Blendrahmen PVC-U,"1,88 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard","22,00 Stück",334 Außentüren und -fenster,-,-,-,321.55,"321,55"
Fugendichtungsbänder PE/PP-Folie,"1,88 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard","22,00 Stück",334 Außentüren und -fenster,-,-,-,135.04,"135,04"
