Name;KG DIN 276;Fläche;Bezugsgröße;eLCA BT ID
Außenwand Gaube Holzrahmenbau Schieferverkleidung;330;1;m²;2402020
Außenwand Gaube Holzrahmenbau Schieferverkleidung Sanierung;330;1;m²;2402016
Außenwand Holzmassivbau Holzverkleidung;330;1;m²;2402036
Außenwand Holzmassivbau Holzverkleidung KfW 55;330;1;m²;2402028
Außenwand Holzmassivbau Holzverkleidung KfW 55 Sanierung;330;1;m²;2402024
Außenwand Holzmassivbau Holzverkleidung Sanierung;330;1;m²;2402032
Außenwand Holzrahmenbau Baustroh Lehmputz;330;1;m²;2402045
Außenwand Holzrahmenbau Baustroh Lehmputz Sanierung;330;1;m²;2402041
Außenwand Holzrahmenbau Holzverkleidung;330;1;m²;2402057
Außenwand Holzrahmenbau Holzverkleidung KfW 55;330;1;m²;2731920
Außenwand Holzrahmenbau Holzverkleidung KfW 55 Sanierung;330;1;m²;2731916
Außenwand Holzrahmenbau Holzverkleidung Sanierung;330;1;m²;2402053
Außenwand Holzrahmenbau verputzt;330;1;m²;2402065
Außenwand Holzrahmenbau verputzt Sanierung;330;1;m²;2402061
Außenwand Mauerwerk erdberührt;330;1;m²;2402073
Außenwand Mauerwerk erdberührt Sanierung;330;1;m²;2402069
Außenwand zweischaliges Mauerwerk hinterlüftet;330;1;m²;2402081
Außenwand zweischaliges Mauerwerk hinterlüftet Sanierung;330;1;m²;2402077
Außenwand zweischaliges Mauerwerk Kerndämmung;330;1;m²;2402089
Außenwand zweischaliges Mauerwerk Kerndämmung Sanierung;330;1;m²;2402085
AW Mauerwerk KfW 55;330;1;m²;2402097
AW Mauerwerk KfW 55 Sanierung;330;1;m²;2402093
timber wall;330;1;m²;2795640
timber wall Sanierung;330;1;m²;2795645
concrete roof;360;1;m²;2794958
concrete roof Sanierung;360;1;m²;2794961
Dach 1;360;1;m²;2518142
Dach 10;360;1;m²;2518171
Dach 11;360;1;m²;2518174
Dach 12;360;1;m²;2529324
Dach 13;360;1;m²;2518178
Dach 2;360;1;m²;2518145
Dach 3;360;1;m²;2518148
Dach 4;360;1;m²;2518151
Dach 7;360;1;m²;2518162
Dach 8;360;1;m²;2518165
Dach 9;360;1;m²;2518168
