Material,Sanierungskosten Worst Case,Sanierungskosten Base Case,Sanierungskosten Best Case
EPS,193,107,20
Hanf,211,123,35
Holzfaser,222,123,23
Mineralwolle,205,111,17
Phenolharzschaum,211,123,35
Glaswolle,205,111,17
Steinwolle,205,111,17
Polystyrol,193,107,20
Zellulose,193,105,17
Stroh,193,108,23
Kork,286,189,93
Polyurethan,205,117,29
PUR,205,117,29
Polyisocyanurat,205,117,29
PIR,205,117,39
XPS,209,122,35
Jute,205,117,29
Schafwolle,205,117,29
Seegras,211,120,30
unbekannt,232,133,35
stroh,193,108,23
