Material,Sanierungskosten Worst Case,Sanierungskosten Base Case,Sanierungskosten Best Case
EPS,224,124,23
Hanf,244,142,40
Holzfaser,258,142,27
Mineralwolle,238,129,20
Phenolharzschaum,244,142,40
Glaswolle,238,129,20
Steinwolle,238,129,20
Polystyrol,224,124,23
Zellulose,224,122,20
Stroh,224,126,27
Kork,332,219,107
Polyurethan,238,136,34
PUR,238,136,34
Polyisocyanurat,238,136,34
PIR,238,136,34
XPS,242,141,40
Jute,238,136,34
Schafwolle,238,136,34
Seegras,244,140,35
stroh,224,126,27
unbekannt,268,154,40
